Date,Company_Sales,Region 1_Sales,Region 2_Sales,Region 3_Sales,Region 4_Sales
2019-07-12,18660239.138656672,6537858.2799853645,5230184.435654506,4356474.738071711,2295204.10740648
2019-07-13,20050185.21074475,7134150.037308542,5482231.810191155,4821881.068412423,2472351.2139553437
2019-07-14,18555915.616236724,6608775.413757889,5177464.430103437,4402213.562921569,2290866.4529301985
2019-07-15,15827291.666988386,5580005.229032186,4441504.776371332,3754189.750255528,1923466.7341876004
2019-07-16,14705016.17706036,5198881.46203188,4129650.580909363,3456100.3735516644,1761654.9865078067
2019-07-17,14609928.330447523,5171495.122558893,4101960.7083775746,3413540.8524139985,1733753.4373523705
2019-07-18,14036384.786186162,4922168.256983069,4019221.34095847,3232763.716808214,1672219.080131491
2019-07-19,14318380.476623995,5082556.512941567,4052197.1924987566,3297914.1844684337,1716649.3125455657
2019-07-20,17322621.03783132,6131918.402100607,4942980.972593584,3925332.3595515564,2136398.7044277326
2019-07-21,19156899.249670863,6720511.047003138,5357426.560620646,4580435.944641433,2372635.492395003
2019-07-22,16502268.365696337,5722858.428282502,4674097.963580056,3922447.2110737935,2009379.5842654416
2019-07-23,16736813.570642632,5814287.025450994,4781013.567461947,3944641.635366924,2028000.0106567477
2019-07-24,16545792.855865467,5660869.323105419,4835612.1272882065,3902860.4386483068,1972396.3969816011
2019-07-25,15602201.83743654,5397123.097901028,4489785.729008932,3767432.671622815,1817115.5973717007
2019-07-26,13820360.064355606,4764615.061697271,4095641.706717948,3196285.847466166,1577843.630593753
2019-07-27,15811447.637012128,5488518.570128862,4607964.9208950745,3627678.1173350206,1851740.4899567957
2019-07-28,15503908.150497528,5400368.846898321,4520585.183341278,3578833.9506248967,1796999.4987503157
2019-07-29,13080136.592134602,4508894.510320006,3865237.1690873904,3018099.6070956825,1468313.2330016543
2019-07-30,12676706.129399166,4305847.010510308,3796996.6302556316,2937267.880473106,1457105.734685907
2019-07-31,13232470.595047845,4547277.0635248665,3901877.1397892404,3064486.082171792,1571890.3772021427
